index,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2021-07-19 10:00:00,20210719,10:00:00,298.0,298.36,297.22,298.2,785000
2021-07-19 10:05:00,20210719,10:05:00,298.26,298.26,297.47,297.54,541260
2021-07-19 10:10:00,20210719,10:10:00,297.56,297.81,297.33,297.4,437980
2021-07-19 10:15:00,20210719,10:15:00,297.34,297.72,296.82,296.95,917300
2021-07-19 10:20:00,20210719,10:20:00,296.88,297.52,296.77,297.32,690420
2021-07-19 10:25:00,20210719,10:25:00,297.28,297.52,297.14,297.52,403800
2021-07-19 10:30:00,20210719,10:30:00,297.52,297.52,297.18,297.22,124170
2021-07-19 10:35:00,20210719,10:35:00,297.2,297.4,297.13,297.18,99600
2021-07-19 10:40:00,20210719,10:40:00,297.18,297.18,296.4,296.41,765640
2021-07-19 10:45:00,20210719,10:45:00,296.51,297.07,296.4,296.98,242720
2021-07-19 10:50:00,20210719,10:50:00,296.96,297.31,296.7,297.05,196700
2021-07-19 10:55:00,20210719,10:55:00,297.05,297.24,296.22,296.31,373880
2021-07-19 11:00:00,20210719,11:00:00,296.33,296.99,296.2,296.84,217020
2021-07-19 11:05:00,20210719,11:05:00,296.89,296.99,296.29,296.35,466750
2021-07-19 11:10:00,20210719,11:10:00,296.29,296.7,296.1,296.4,443590
2021-07-19 11:15:00,20210719,11:15:00,296.48,296.48,295.99,296.25,807670
2021-07-19 11:20:00,20210719,11:20:00,296.25,296.56,295.96,296.53,196130
2021-07-19 11:25:00,20210719,11:25:00,296.53,296.56,296.05,296.07,120730
2021-07-19 11:30:00,20210719,11:30:00,296.14,296.25,296.02,296.12,211350
2021-07-19 11:35:00,20210719,11:35:00,296.1,296.1,295.6,295.6,610370
2021-07-19 11:40:00,20210719,11:40:00,295.6,295.86,295.6,295.81,315510
2021-07-19 11:45:00,20210719,11:45:00,295.77,295.86,295.6,295.7,169340
2021-07-19 11:50:00,20210719,11:50:00,295.7,295.76,295.4,295.42,424240
2021-07-19 11:55:00,20210719,11:55:00,295.42,295.71,295.4,295.63,146950
2021-07-19 12:00:00,20210719,12:00:00,295.59,295.94,295.4,295.77,268460
2021-07-19 12:05:00,20210719,12:05:00,295.75,295.97,295.45,295.79,246970
2021-07-19 12:10:00,20210719,12:10:00,295.79,296.08,295.47,295.96,367290
2021-07-19 12:15:00,20210719,12:15:00,295.95,295.95,295.53,295.61,108040
2021-07-19 12:20:00,20210719,12:20:00,295.54,295.96,295.53,295.93,305590
2021-07-19 12:25:00,20210719,12:25:00,295.93,296.04,295.8,296.0,314200
2021-07-19 12:30:00,20210719,12:30:00,295.95,296.19,295.67,295.83,369600
2021-07-19 12:35:00,20210719,12:35:00,295.78,295.91,295.58,295.73,73070
2021-07-19 12:40:00,20210719,12:40:00,295.77,296.24,295.64,296.18,257580
2021-07-19 12:45:00,20210719,12:45:00,296.18,296.25,295.86,296.04,128050
2021-07-19 12:50:00,20210719,12:50:00,296.04,296.1,295.82,295.89,68180
2021-07-19 12:55:00,20210719,12:55:00,295.9,296.0,295.81,296.0,116880
2021-07-19 13:00:00,20210719,13:00:00,295.98,296.21,295.72,295.78,242710
2021-07-19 13:05:00,20210719,13:05:00,295.78,295.87,295.5,295.55,107240
2021-07-19 13:10:00,20210719,13:10:00,295.55,295.6,295.49,295.54,113270
2021-07-19 13:15:00,20210719,13:15:00,295.51,295.7,295.51,295.55,144650
2021-07-19 13:20:00,20210719,13:20:00,295.55,295.67,295.45,295.54,100350
2021-07-19 13:25:00,20210719,13:25:00,295.54,295.57,295.24,295.26,497550
2021-07-19 13:30:00,20210719,13:30:00,295.28,295.42,295.22,295.38,89830
2021-07-19 13:35:00,20210719,13:35:00,295.36,295.39,294.75,294.97,979880
2021-07-19 13:40:00,20210719,13:40:00,294.97,295.14,294.97,295.04,92750
2021-07-19 13:45:00,20210719,13:45:00,295.04,295.21,295.01,295.13,86480
2021-07-19 13:50:00,20210719,13:50:00,295.12,295.48,295.05,295.39,151250
2021-07-19 13:55:00,20210719,13:55:00,295.39,295.48,295.23,295.43,84300
2021-07-19 14:00:00,20210719,14:00:00,295.38,295.51,295.25,295.27,78560
2021-07-19 14:05:00,20210719,14:05:00,295.3,295.64,295.27,295.54,85560
2021-07-19 14:10:00,20210719,14:10:00,295.54,295.63,295.36,295.36,251180
2021-07-19 14:15:00,20210719,14:15:00,295.43,295.48,295.19,295.46,59430
2021-07-19 14:20:00,20210719,14:20:00,295.36,295.49,295.28,295.4,58290
2021-07-19 14:25:00,20210719,14:25:00,295.4,295.43,294.86,294.97,243610
2021-07-19 14:30:00,20210719,14:30:00,294.97,294.98,293.75,293.77,1040250
2021-07-19 14:35:00,20210719,14:35:00,293.77,294.04,293.35,293.67,1010110
2021-07-19 14:40:00,20210719,14:40:00,293.67,294.27,293.62,293.82,342940
2021-07-19 14:45:00,20210719,14:45:00,293.83,294.2,293.8,294.1,245380
2021-07-19 14:50:00,20210719,14:50:00,294.1,294.11,293.71,293.92,222340
2021-07-19 14:55:00,20210719,14:55:00,293.88,294.27,293.87,294.19,248880
2021-07-19 15:00:00,20210719,15:00:00,294.2,294.26,293.8,293.86,269010
2021-07-19 15:05:00,20210719,15:05:00,293.93,294.26,293.88,294.14,203470
2021-07-19 15:10:00,20210719,15:10:00,294.14,294.36,294.03,294.25,381390
2021-07-19 15:15:00,20210719,15:15:00,294.24,294.3,293.92,294.26,361790
2021-07-19 15:20:00,20210719,15:20:00,294.27,294.58,294.15,294.47,338720
2021-07-19 15:25:00,20210719,15:25:00,294.48,294.68,294.44,294.65,130550
2021-07-19 15:30:00,20210719,15:30:00,294.64,294.67,294.45,294.49,124380
2021-07-19 15:35:00,20210719,15:35:00,294.48,294.5,294.15,294.19,180710
2021-07-19 15:40:00,20210719,15:40:00,294.19,294.55,294.18,294.39,114650
2021-07-19 15:45:00,20210719,15:45:00,294.49,294.6,294.37,294.43,251500
2021-07-19 15:50:00,20210719,15:50:00,294.42,294.79,294.16,294.77,250300
2021-07-19 15:55:00,20210719,15:55:00,294.78,294.8,294.59,294.7,139390
2021-07-19 16:00:00,20210719,16:00:00,294.7,294.7,294.15,294.29,326600
2021-07-19 16:05:00,20210719,16:05:00,294.29,294.35,293.55,293.59,422000
2021-07-19 16:10:00,20210719,16:10:00,293.6,293.64,293.1,293.38,594700
2021-07-19 16:15:00,20210719,16:15:00,293.37,293.75,293.25,293.73,306670
2021-07-19 16:20:00,20210719,16:20:00,293.73,293.76,293.49,293.7,159180
2021-07-19 16:25:00,20210719,16:25:00,293.7,293.72,293.52,293.54,48540
2021-07-19 16:30:00,20210719,16:30:00,293.54,294.7,293.42,293.52,602100
2021-07-19 16:35:00,20210719,16:35:00,293.6,293.78,292.35,292.59,1983900
2021-07-19 16:40:00,20210719,16:40:00,292.59,293.12,292.4,293.06,379380
2021-07-19 16:45:00,20210719,16:45:00,293.06,293.15,292.3,292.41,484240
2021-07-19 16:50:00,20210719,16:50:00,292.36,292.41,291.93,292.4,753520
2021-07-19 16:55:00,20210719,16:55:00,292.4,292.65,292.05,292.45,266350
2021-07-19 17:00:00,20210719,17:00:00,292.5,292.63,292.25,292.52,218390
2021-07-19 17:05:00,20210719,17:05:00,292.52,292.86,292.39,292.6,251240
2021-07-19 17:10:00,20210719,17:10:00,292.57,292.6,292.08,292.33,192810
2021-07-19 17:15:00,20210719,17:15:00,292.3,292.4,291.31,291.46,1303960
